FrameCnt,focal_length,datetime,OSD.latitude,OSD.longitude,OSD.xSpeed [MPH],OSD.ySpeed [MPH],OSD.zSpeed [MPH],OSD.directionOfTravel,OSD.pitch,OSD.roll,OSD.yaw,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,HOME.longitude,HOME.latitude,adjusted height,Drone type
35,250.0,2023-10-15 17:16:33,33.26269195832377,126.179314596221,0.0,0.0,0.0,1.1,-10.533333333333333,-1.6333333333333333,-19.233333333333334,-89.93333333333334,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
36,250.0,2023-10-15 17:16:33,33.2626919094806,126.179314580101,0.0,0.0,0.0,1.1,-10.6,-1.7,-19.2,-89.9,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
37,250.0,2023-10-15 17:16:34,33.2626919051971,126.17931458911734,0.0,0.0,0.0,1.1,-10.633333333333333,-1.6666666666666667,-19.2,-89.93333333333334,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
38,250.0,2023-10-15 17:16:34,33.2626919009136,126.17931459813367,0.0,0.0,0.0,1.1,-10.666666666666666,-1.6333333333333333,-19.2,-89.96666666666667,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
39,250.0,2023-10-15 17:16:34,33.2626918966301,126.17931460715,0.0,0.0,0.0,1.1,-10.7,-1.6,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
40,250.0,2023-10-15 17:16:34,33.262691945553236,126.17931459359833,0.0,0.0,0.0,1.1,-10.7,-1.6,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
41,250.0,2023-10-15 17:16:34,33.26269199447636,126.17931458004666,0.0,0.0,0.0,1.1,-10.7,-1.6,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
42,250.0,2023-10-15 17:16:34,33.2626920433995,126.179314566495,0.0,0.0,0.0,1.1,-10.7,-1.6,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
43,250.0,2023-10-15 17:16:34,33.262692043136795,126.179314571577,0.0,0.0,0.0,1.1,-10.733333333333333,-1.5666666666666667,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
44,250.0,2023-10-15 17:16:34,33.2626920428741,126.179314576659,0.0,0.0,0.0,1.1,-10.766666666666667,-1.5333333333333334,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
45,250.0,2023-10-15 17:16:34,33.2626920426114,126.179314581741,0.0,0.0,0.0,1.1,-10.8,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
46,250.0,2023-10-15 17:16:34,33.26269203979,126.17931466332332,0.0,0.0,0.0,1.1,-10.8,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
47,250.0,2023-10-15 17:16:34,33.2626920369686,126.17931474490567,0.0,0.0,0.0,1.1,-10.8,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
48,250.0,2023-10-15 17:16:34,33.2626920341472,126.179314826488,0.0,0.0,0.0,1.1,-10.8,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
49,250.0,2023-10-15 17:16:34,33.2626920346098,126.17931484279899,0.0,0.0,0.0,1.1,-10.8,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
50,250.0,2023-10-15 17:16:34,33.2626920350724,126.17931485911,0.0,0.0,0.0,1.1,-10.8,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
51,250.0,2023-10-15 17:16:34,33.2626920360319,126.179314832335,0.0,0.0,0.0,1.1,-11.033333333333333,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
52,250.0,2023-10-15 17:16:34,33.262692036991396,126.17931480556,0.0,0.0,0.0,1.1,-11.266666666666667,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
53,250.0,2023-10-15 17:16:34,33.2626920379509,126.179314778785,0.0,0.0,0.0,1.1,-11.5,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
54,250.0,2023-10-15 17:16:34,33.2626920424286,126.17931478419466,0.0,0.0,0.0,1.1,-12.0,-1.4666666666666666,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.52272000000002,Mavic 2
55,250.0,2023-10-15 17:16:34,33.2626920469063,126.17931478960433,0.0,0.0,0.0,1.1,-12.5,-1.4333333333333333,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.56336000000002,Mavic 2
56,250.0,2023-10-15 17:16:34,33.262692051384,126.179314795014,0.0,0.0,0.0,1.1,-13.0,-1.4,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
57,250.0,2023-10-15 17:16:34,33.262692065765066,126.17931482200767,0.0,0.0,0.0,1.1,-13.7,-1.4333333333333333,-19.166666666666668,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
58,250.0,2023-10-15 17:16:34,33.26269208014614,126.17931484900133,0.0,0.0,0.0,1.1,-14.4,-1.4666666666666666,-19.133333333333333,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
59,250.0,2023-10-15 17:16:34,33.2626920945272,126.179314875995,0.0,0.0,0.0,1.1,-15.1,-1.5,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
60,250.0,2023-10-15 17:16:34,33.26269212458017,126.17931487370001,0.07456466666666667,0.0,0.0,1.1,-15.766666666666667,-1.5333333333333334,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.56336000000002,Mavic 2
61,250.0,2023-10-15 17:16:34,33.262692154633136,126.179314871405,0.14912933333333334,0.0,0.0,1.1,-16.433333333333334,-1.5666666666666667,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.52272000000002,Mavic 2
62,250.0,2023-10-15 17:16:34,33.2626921846861,126.17931486911,0.223694,0.0,0.0,1.1,-17.1,-1.6,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
63,250.0,2023-10-15 17:16:34,33.2626922822925,126.17931487790767,0.29825866666666667,0.0,0.0,120.23333333333332,-17.566666666666666,-1.6,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
64,250.0,2023-10-15 17:16:34,33.2626923798989,126.17931488670533,0.37282333333333334,0.0,0.0,239.36666666666665,-18.033333333333335,-1.6,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
65,250.0,2023-10-15 17:16:34,33.2626924775053,126.179314895503,0.447388,0.0,0.0,358.5,-18.5,-1.6,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
66,250.0,2023-10-15 17:16:34,33.262692569663095,126.17931486736167,0.5219526666666666,-0.07456466666666667,0.0,240.56666666666666,-18.733333333333334,-1.5666666666666667,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
67,250.0,2023-10-15 17:16:35,33.2626926618209,126.17931483922032,0.5965173333333333,-0.14912933333333334,0.0,122.63333333333333,-18.966666666666665,-1.5333333333333334,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
68,250.0,2023-10-15 17:16:35,33.2626927539787,126.179314811079,0.671082,-0.223694,0.0,4.7,-19.2,-1.5,-19.1,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
69,250.0,2023-10-15 17:16:35,33.262692865817634,126.17931475200966,0.7456466666666667,-0.223694,0.0,5.833333333333333,-19.3,-1.5,-19.133333333333333,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
70,250.0,2023-10-15 17:16:35,33.26269297765656,126.17931469294034,0.8202113333333333,-0.223694,0.0,6.966666666666667,-19.4,-1.5,-19.166666666666668,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
71,250.0,2023-10-15 17:16:35,33.2626930894955,126.179314633871,0.894776,-0.223694,0.0,8.1,-19.5,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
72,250.0,2023-10-15 17:16:35,33.26269325540923,126.17931456868133,0.9693406666666667,-0.29825866666666667,0.0,7.433333333333333,-19.566666666666666,-1.4333333333333333,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.52272000000002,Mavic 2
73,250.0,2023-10-15 17:16:35,33.262693421322965,126.17931450349167,1.0439053333333335,-0.37282333333333334,0.0,6.766666666666667,-19.633333333333333,-1.3666666666666667,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.56336000000002,Mavic 2
74,250.0,2023-10-15 17:16:35,33.2626935872367,126.179314438302,1.11847,-0.447388,0.0,6.1,-19.7,-1.3,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.604,Mavic 2
